sample_id,formula,working_ion,anion_family,target
mp-770348,Li2VSiCO7,Li,phosphate_or_polyanion,81.69400037937156
mp-26811,LiFe(PO3)4,Li,phosphate_or_polyanion,85.0131453300058
mvc-13129,Ca2CoRhO6,Ca,oxide,337.5532772608289
mp-765627,LiFePO4,Li,phosphate_or_polyanion,62.42220397056046
mp-771514,Li4TiCo5O12,Li,oxide,850.5798643615
mp-1046926,MgTi3(P2O7)2,Mg,phosphate_or_polyanion,177.93451892965058
mp-765441,LiMn5O3F5,Li,halide,235.5748027144222
mp-778285,Li4Mn3Cr3(CoO8)2,Li,oxide,622.5403943756635
mp-1185307,LiAl2Cu,Li,other,818.1548397372413
mp-1177868,Li2TiCrO4,Li,oxide,1196.7387937798533
mp-775180,Li2Co3WO8,Li,oxide,611.0831406711674
mvc-14333,VZnF5,Zn,halide,955.2606956050954
mp-762566,Li2FeSiO4,Li,phosphate_or_polyanion,493.13781106568666
mp-773322,AlCr2O4,Al,oxide,600.6788259085238
mp-778530,LiCr2(PS4)3,Li,sulfide,92.1587347312076
mp-1045839,CaCr(PO3)4,Ca,phosphate_or_polyanion,176.0449796636516
mp-1199248,CsMo2P3O13,other,phosphate_or_polyanion,35.81159364932144
mp-758412,Li8Mn7Co(PO4)12,Li,phosphate_or_polyanion,398.6264618854717
mp-1201518,K3Fe5F15,K,halide,6.544411767830105
mp-767444,Li2Mn(CO3)2,Li,oxide,344.0091135577404
mp-585424,LiCrPO4,Li,phosphate_or_polyanion,497.7434408345329
mp-1400454,Mg(MnS2)4,Mg,sulfide,93.56573271579728
mp-767605,Li2VF5,Li,halide,109.89572895179676
mp-560506,NaTiP2O7,Na,phosphate_or_polyanion,78.9361558755036
mp-1041044,ZnP2W2O9,Zn,phosphate_or_polyanion,120.85755745936628
mp-753807,ZnNi9O10,Zn,oxide,466.5490155275174
mp-1236151,LiTi4O6,Li,oxide,195.412824085918
mp-756781,Sr3Li2Nb4O13,Li,oxide,311.5609357887951
mp-2624,AlSb,Al,other,2204.6456772365664
mp-1042364,CaTaBiO5,Ca,oxide,83.03168912711068
mp-31950,LiMn(PO3)4,Li,phosphate_or_polyanion,90.8357190495259
mvc-12627,MgV2O4,Mg,oxide,546.3069730557154
mp-1851458,CaBiMoO5,Ca,oxide,88.88781821318553
mvc-13165,Ba4CaFe4Cu2F28,Ca,halide,151.0056208364211
