sample_id,formula,working_ion,anion_family,target
mp-768757,LiCu2(SO4)3,Li,sulfide,4.639979605833337
mp-766115,LiCrO2,Li,oxide,3.5671457349999973
mp-761066,NaNiPO4,Na,phosphate_or_polyanion,4.420447996551726
mp-1234292,MgV8(OF)8,Mg,halide,0.2595285000000064
mp-757193,Li4Cr3Ni(PO4)4,Li,phosphate_or_polyanion,3.132446093333333
mvc-12139,Y2Cr3O9,other,oxide,3.3140482166666656
mp-778572,Li2VFeP2(O4F)2,Li,halide,3.778429719999996
mp-1177337,Li4NbFe5(PO4)6,Li,phosphate_or_polyanion,2.182433085000018
mp-1043519,MgV(Si2O5)2,Mg,phosphate_or_polyanion,1.996457581249989
mp-770525,Na6Mn2C4SO16,Na,sulfide,3.737696424051723
mp-578993,Ca2MnFeO5,Ca,oxide,3.472630686249995
mp-778332,Na5Cr2P(CO4)4,Na,phosphate_or_polyanion,3.399148259999999
mp-31806,LiFe3(P3O10)2,Li,phosphate_or_polyanion,4.478261175000005
mp-31560,Li2Co(PO3)4,Li,phosphate_or_polyanion,5.153203818333343
mp-780207,Li5FeO4,Li,oxide,3.1807560399999963
mp-584122,Li2Co3(P2O7)2,Li,phosphate_or_polyanion,4.622614545833334
mp-777270,Li11V6O5F19,Li,halide,3.251028108333334
mp-853172,Li2VF4,Li,halide,3.2128748262500024
mp-18369,Ta2MnZn2O8,Zn,oxide,1.5101830500000026
mp-755297,Li2CoO2,Li,oxide,2.4205801266666658
mp-765333,Li5Mn3O5F3,Li,halide,2.6836208600000027
mp-1079427,Na2CuO2,Na,oxide,0.5594743349999953
mp-758746,Li6NbCr3(PO4)6,Li,phosphate_or_polyanion,3.5628179200000005
mp-1176648,Na5Fe2P2(CO7)2,Na,phosphate_or_polyanion,2.7742768365517385
mp-1178046,Li2Co(CO3)2,Li,oxide,3.824818035000012
mp-1045503,Ca(FeS2)2,Ca,sulfide,1.7143427350000018
mp-569383,Ca5(CoN2)2,Ca,other,1.5853441912500008
mp-1176990,Li6V3Cu(PO4)6,Li,phosphate_or_polyanion,3.3466521733333394
mvc-11739,Ca(TiS2)4,Ca,sulfide,1.6967483537499988
mp-1044315,MgCr3O7,Mg,oxide,2.516615961250001
mp-759539,Li2VF5,Li,halide,3.684767193333333
mp-675435,MgMo3Se4,Mg,other,0.7519438000000007
mp-752869,Li2VP2O7,Li,phosphate_or_polyanion,2.197575840833342
mp-771674,MgCr3(SO4)6,Mg,sulfide,5.148793355
mp-759186,LiVF5,Li,halide,4.35258805083333
mp-26887,LiVP2O7,Li,phosphate_or_polyanion,3.6013977058333255
mp-763235,LiMnPO4F,Li,halide,4.536242972499997
mp-556243,CaV2(PO5)2,Ca,phosphate_or_polyanion,4.228452195000005
mp-1210088,NaWO2,Na,oxide,0.0864756074999946
mp-974970,Rb3Mn,other,other,-0.9237332696551724
mp-1185592,Mg149Fe,Mg,other,0.0088490186241609
mp-1346390,CaWF5,Ca,halide,3.2527343387500016
mp-760803,LiVF5,Li,halide,4.864463569583333
mp-578869,Na5LiMn2O8,Li,oxide,4.011821786250016
mp-768678,LiSn2(SO4)3,Li,sulfide,2.5449080349999966
mp-756904,LiLa4FeO8,Li,oxide,3.367874135833323
mp-851213,Na6Mn2P(CO4)4,Na,phosphate_or_polyanion,3.9156604149999854
mp-705356,Li2Fe(PO3)5,Li,phosphate_or_polyanion,5.317063760833325
mp-19385,YMnO3,other,oxide,4.16942380055555
mp-767189,Li2Mn7F16,Li,halide,3.809568105000001
mp-1287701,Li2Mn3CoO8,Li,oxide,4.3857285333333325
mp-32366,Li3Ni2(PO4)3,Li,phosphate_or_polyanion,4.861374939999996
mp-1047813,V3ZnP3O13,Zn,phosphate_or_polyanion,1.3258825474999942
mp-1044883,LaMgTiCrO6,Mg,oxide,3.194730654999998
mp-1079163,Mg7Nb,Mg,other,-0.0415024314285714
mp-1154719,CaMn2(SiO3)4,Ca,phosphate_or_polyanion,3.754117090000011
mp-760368,LiMn5O5F,Li,halide,2.151560173333342
mp-1177279,Li4TiCu3(PO4)4,Li,phosphate_or_polyanion,3.4505898883333375
mp-1568146,Li2Mn2CrO6,Li,oxide,3.5168113558333305
mp-752612,Li3V2OF7,Li,halide,3.8453607758333326
mp-26471,Li4Fe5(P3O11)2,Li,phosphate_or_polyanion,3.233901318333328
mp-1250467,Ca2Cr2(SiO4)3,Ca,phosphate_or_polyanion,4.729261198749998
mp-1042669,CaCrBiO5,Ca,oxide,4.0940066750000055
mp-1044647,Ti2ZnO4,Zn,oxide,-0.0176730141666675
mp-763239,Li4CrP2(O4F)2,Li,halide,4.651941139999991
mp-2074,Li3Sb,Li,other,0.94849008
mp-754708,Li3V5Cr2O12,Li,oxide,2.537345438333351
mp-765447,Li5V5O9F,Li,halide,1.6654599700000057
mp-1385591,YMn2O4,other,oxide,2.507795895555558
mp-1040883,CaFe3(P2O7)2,Ca,phosphate_or_polyanion,3.626405594999998
mp-1228605,Al3(MoS2)8,Al,sulfide,-0.3889864100000055
mp-6465,NaTi(SiO3)2,Na,phosphate_or_polyanion,1.2832474865517336
mp-778785,Li2Cr3TeO8,Li,oxide,3.555275562499998
mp-772200,Na6Fe2As(CO4)4,Na,oxide,3.5214394315517303
mp-505090,Na(CuO)2,Na,oxide,2.4718410640517265
mp-758195,Li3VO3F,Li,halide,3.0385893508333313
mp-26248,Li4Cu(PO4)2,Li,phosphate_or_polyanion,4.049552728333329
mp-1177512,Li3VFe(P2O7)2,Li,phosphate_or_polyanion,2.9555278733333283
mp-26319,Li3Mo(PO3)8,Li,phosphate_or_polyanion,5.8982441933333165
mp-772664,Na2CoAsCO7,Na,oxide,4.105284496551722
mp-26817,LiVP2O7,Li,phosphate_or_polyanion,3.4804758283333443
mp-753115,LiMnF4,Li,halide,5.805865288333334
mp-763825,Na2LiVPO6,Li,phosphate_or_polyanion,2.1050149575000083
mp-1380716,Al5(NiO4)3,Al,oxide,3.2199078033333355
mp-1041222,CaHoV2O6,Ca,oxide,3.002782194999997
mp-26087,Li3Co2(PO4)3,Li,phosphate_or_polyanion,5.105458990833331
mp-30404,Li2SbAu,Li,other,1.185917553333334
mp-767682,Li4Fe3(BO3)4,Li,phosphate_or_polyanion,3.2668900149999778
mp-1246794,Mg(CrS2)4,Mg,sulfide,1.7258163250000012
mp-769821,Li4Mn5CuO12,Li,oxide,3.383390690000004
mp-779010,Li9Sn3P8O29,Li,phosphate_or_polyanion,1.8892572733333424
mp-763528,LiV4(PO4)3,Li,phosphate_or_polyanion,1.9091719749999971
mp-757995,LiP4WO12,Li,phosphate_or_polyanion,3.3213239333333364
mp-771453,Li5Ti2Fe5O12,Li,oxide,2.590647314999989
mp-1043203,CaCo(GeO3)2,Ca,oxide,4.321407745000005
mp-769848,Li4Mn5Sb3O16,Li,oxide,3.670519200000006
